permalink,collection,id,loc,uuid,artist,year,location,description,imageLink
https://digitalcollections.nypl.org/items/510d47de-7bac-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1206642,,acecac60-c6ed-012f-610a-58d385a7bc34,"Miller, Kelly",1914-1918,Washington D.C.,Woman smiles while pushing a wheelbarrow of wood,https://images.nypl.org/index.php?id=1206642&t=w
https://digitalcollections.nypl.org/items/510d47df-f8bb-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260019,,0b8d5580-c613-012f-a285-58d385a7bc34,"Mydans, Carl",1935,Washington D.C.,Woman pumps water from slum well,https://images.nypl.org/index.php?id=1260019&t=w
https://digitalcollections.nypl.org/items/75ece515-a29d-388d-e040-e00a180601f1,Schomburg Center for Research in Black Culture,1800851,,df37bc10-c6e8-012f-9d24-3c075448cc4b,"Grossman, Sid",1939,"W. 125th and 8th, Harlem, New York",Woman crossing street in Harlem,https://images.nypl.org/index.php?id=1800851&t=w
https://digitalcollections.nypl.org/items/8fbb4d50-461d-0134-7795-00505686a51c,Schomburg Center for Research in Black Culture,56806338,,b8eee320-1ab6-0134-f291-00505686a51c,,1937,"Harlem, New York",Woman passes Harlem dry cleaners,https://images.nypl.org/index.php?id=56806338&t=w
https://digitalcollections.nypl.org/items/7e2d3c79-994e-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818757,,93a77360-c6ce-012f-0f1d-58d385a7bc34,,1938,"Lincoln School for Nurses, New York",Two nurses change a patient's dressings,https://images.nypl.org/index.php?id=1818757&t=w
https://digitalcollections.nypl.org/items/7e2d3c79-9950-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818759,,94228c00-c6ce-012f-0278-58d385a7bc34,"Staudinger Rozaffy, R.",1939,"Lincoln School for Nurses, New York",Three nurses exit building,https://images.nypl.org/index.php?id=1818759&t=w
https://digitalcollections.nypl.org/items/7e2d3c79-9944-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818747,,9148f820-c6ce-012f-d4ff-58d385a7bc34,,1959,"Lincoln School for Nurses, New York",Nursing students sitting on steps of Lincoln School,https://images.nypl.org/index.php?id=1818747&t=w
https://digitalcollections.nypl.org/items/510d47df-f88c-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1259992,,919ab9d0-c612-012f-e31b-58d385a7bc34,"Wolcott, Marion Post",1941,"Okeechobee Camp, Belle Glade, Florida",Woman with children washing food by water pump,https://images.nypl.org/index.php?id=1259992&t=w
https://digitalcollections.nypl.org/items/510d47de-8431-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1213442,,3ea0a8b0-c6d1-012f-001d-58d385a7bc34,"Smith, Roger",1939-1945,,Woman grocery shops with her children,https://images.nypl.org/index.php?id=1213442&t=w
https://digitalcollections.nypl.org/items/b6e69fe8-7bf8-05aa-e040-e00a18062cd5,Schomburg Center for Research in Black Culture,3990809,,345003e0-c62a-012f-ff6f-58d385a7bc34,,,"Harlem, New York",Family visits Park Avenue Market in Harlem,https://images.nypl.org/index.php?id=3990809&t=w
https://digitalcollections.nypl.org/items/510d47df-f9fb-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260330,,b9e86aa0-c645-012f-68b6-58d385a7bc34,,1946,"Staten Island, New York",6888th Women's Army Corp arrive in New York from Europe,https://images.nypl.org/index.php?id=1260330&t=w
https://digitalcollections.nypl.org/items/510d47df-fa3e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260396,,388e6340-c6d1-012f-3f18-58d385a7bc34,"Smith, Roger",1939-1945,"Rose Garden, Botanical Gardens, Washington D.C.",Women landscaping Botanical Gardens,https://images.nypl.org/index.php?id=1260396&t=w
